Image no,Image name,Date,Tidal height,H1-Waterline,H1-Bar,H1-Breaker,H2-Waterline,H2-Bar,H2-Breaker,H3-Waterline,H3-Breaker,H4-Waterline,H4-Breaker
439,LC08_120035_20131115.tif,2013/11/15,-1.032715814,227.1702,289.0467,,235.4633,275.8556,,342.5135,,350.524,
440,LC08_120035_20131201.tif,2013/12/1,-1.34152826,226.3965,288.5368,,,,,344.0811,,358.8383,
441,LC08_120035_20140102.tif,2014/1/2,-2.496988825,,,,,,,395.7028,,404.1884,
442,LE07_120035_20140110.tif,2014/1/10,0.039234956,,,,,,,,,,
443,LE07_120035_20140126.tif,2014/1/26,0.115389921,190.6497,,,186.9058,,,183.344,,,
444,LE07_120035_20140211.tif,2014/2/11,-1.003935091,192.2911,,,210.2159,,,,,309.6884,
445,LC08_120035_20140219.tif,2014/2/19,-0.678648428,,,,188.1383,,,,,201.9308,
446,LC08_120035_20140307.tif,2014/3/7,0.513389214,186.0013,,,184.5122,,,174.5229,,175.0564,213.0602
447,LE07_120035_20140315.tif,2014/3/15,-1.548059077,199.5832,,424.3384,226.8081,291.6847,,333.5059,,,
448,LC08_120035_20140424.tif,2014/4/24,0.651479725,182.1672,,,182.5425,,,172.6671,,177.9584,
449,LE07_120035_20140502.tif,2014/5/2,-0.329364941,186.9159,,,,,,,,,
450,LC08_120035_20140510.tif,2014/5/10,0.210072714,189.6473,,,186.9058,,,181.9373,,179.2135,219.3315
451,LC08_120035_20140526.tif,2014/5/26,-0.465574847,191.2888,,,212.7636,,321.041,245.2303,344.2437,304.0263,
452,LC08_120035_20140729.tif,2014/7/29,-0.400523345,188.645,,,201.0023,,,192.6497,,207.8157,
453,LE07_120035_20140907.tif,2014/9/7,-0.439683915,,,,,,,,,,
454,LE07_120035_20140923.tif,2014/9/23,-0.936143748,184.7233,,,205.8233,,,,,312.3406,366.4026
455,LC08_120035_20141001.tif,2014/10/1,0.504948829,180.1625,,,179.497,,,173.2434,,178.2392,
